,Delay,Date,Time,Source IP address,Destination IP address,Bandwidth,date_year,date_month_no,date_day,hour,min,sec
0,0.0,2022-08-09,2022-08-29 14:15:16,18,117,55,2022,8,9,14,15,16
1,0.014674,2022-08-09,2022-08-29 14:15:16,116,18,66,2022,8,9,14,15,16
2,0.0,2022-08-09,2022-08-29 14:15:16,82,69,75,2022,8,9,14,15,16
3,0.04809,2022-08-09,2022-08-29 14:15:16,65,83,86,2022,8,9,14,15,16
4,0.0,2022-08-09,2022-08-29 14:15:18,18,1,55,2022,8,9,14,15,18
5,0.053148,2022-08-09,2022-08-29 14:15:18,2,18,66,2022,8,9,14,15,18
6,0.0,2022-08-09,2022-08-29 14:15:21,82,63,75,2022,8,9,14,15,21
7,0.051756,2022-08-09,2022-08-29 14:15:21,59,83,86,2022,8,9,14,15,21
8,0.0,2022-08-09,2022-08-29 14:15:22,82,64,75,2022,8,9,14,15,22
9,0.050298,2022-08-09,2022-08-29 14:15:22,60,83,86,2022,8,9,14,15,22
10,0.0,2022-08-09,2022-08-29 14:15:25,82,57,75,2022,8,9,14,15,25
11,0.015461,2022-08-09,2022-08-29 14:15:25,53,83,86,2022,8,9,14,15,25
12,0.0,2022-08-09,2022-08-29 14:15:26,82,54,75,2022,8,9,14,15,26
13,0.018712,2022-08-09,2022-08-29 14:15:26,50,83,86,2022,8,9,14,15,26
14,0.0,2022-08-09,2022-08-29 14:15:26,82,53,75,2022,8,9,14,15,26
15,0.012052,2022-08-09,2022-08-29 14:15:26,49,83,86,2022,8,9,14,15,26
16,0.0,2022-08-09,2022-08-29 14:15:27,18,95,55,2022,8,9,14,15,27
17,0.217609,2022-08-09,2022-08-29 14:15:27,94,18,66,2022,8,9,14,15,27
18,10.002802,2022-08-09,2022-08-29 14:15:28,18,1,55,2022,8,9,14,15,28
19,0.056459,2022-08-09,2022-08-29 14:15:28,2,18,66,2022,8,9,14,15,28
20,10.012552,2022-08-09,2022-08-29 14:15:38,18,1,55,2022,8,9,14,15,38
21,0.058699,2022-08-09,2022-08-29 14:15:39,2,18,66,2022,8,9,14,15,39
22,0.0,2022-08-09,2022-08-29 14:15:39,18,26,153,2022,8,9,14,15,39
23,0.058817,2022-08-09,2022-08-29 14:15:39,26,18,223,2022,8,9,14,15,39
24,0.046047,2022-08-09,2022-08-29 14:15:39,18,26,54,2022,8,9,14,15,39
25,0.0,2022-08-09,2022-08-29 14:15:39,82,76,75,2022,8,9,14,15,39
26,0.0,2022-08-09,2022-08-29 14:15:39,82,68,75,2022,8,9,14,15,39
27,0.048918,2022-08-09,2022-08-29 14:15:39,72,83,86,2022,8,9,14,15,39
28,0.047784,2022-08-09,2022-08-29 14:15:39,64,83,86,2022,8,9,14,15,39
29,0.0,2022-08-09,2022-08-29 14:15:42,82,41,75,2022,8,9,14,15,42
30,0.014879,2022-08-09,2022-08-29 14:15:42,37,83,86,2022,8,9,14,15,42
31,0.0,2022-08-09,2022-08-29 14:15:44,121,119,42,2022,8,9,14,15,44
32,0.0,2022-08-09,2022-08-29 14:15:44,118,133,42,2022,8,9,14,15,44
33,10.00738,2022-08-09,2022-08-29 14:15:49,18,1,55,2022,8,9,14,15,49
34,0.057061,2022-08-09,2022-08-29 14:15:49,2,18,66,2022,8,9,14,15,49
35,0.0,2022-08-09,2022-08-29 14:15:55,82,71,75,2022,8,9,14,15,55
36,0.050954,2022-08-09,2022-08-29 14:15:55,67,83,86,2022,8,9,14,15,55
37,10.007651,2022-08-09,2022-08-29 14:15:59,18,1,55,2022,8,9,14,15,59
38,0.055533,2022-08-09,2022-08-29 14:15:59,2,18,66,2022,8,9,14,15,59
39,35.004025,2022-08-09,2022-08-29 14:16:00,53,83,74,2022,8,9,14,16,0
40,45.013376,2022-08-09,2022-08-29 14:16:01,18,117,55,2022,8,9,14,16,1
41,0.017845,2022-08-09,2022-08-29 14:16:01,116,18,66,2022,8,9,14,16,1
42,45.010606,2022-08-09,2022-08-29 14:16:01,82,69,75,2022,8,9,14,16,1
43,0.049736,2022-08-09,2022-08-29 14:16:01,65,83,86,2022,8,9,14,16,1
44,0.0,2022-08-09,2022-08-29 14:16:06,119,83,86,2022,8,9,14,16,6
45,0.0,2022-08-09,2022-08-29 14:16:06,82,120,86,2022,8,9,14,16,6
46,45.007037,2022-08-09,2022-08-29 14:16:06,82,63,75,2022,8,9,14,16,6
47,0.051292,2022-08-09,2022-08-29 14:16:06,59,83,86,2022,8,9,14,16,6
48,45.002789,2022-08-09,2022-08-29 14:16:07,82,64,75,2022,8,9,14,16,7
49,0.04989,2022-08-09,2022-08-29 14:16:07,60,83,86,2022,8,9,14,16,7
50,10.011733,2022-08-09,2022-08-29 14:16:09,18,1,55,2022,8,9,14,16,9
51,0.055502,2022-08-09,2022-08-29 14:16:09,2,18,66,2022,8,9,14,16,9
52,45.007232,2022-08-09,2022-08-29 14:16:11,82,54,75,2022,8,9,14,16,11
53,0.017007,2022-08-09,2022-08-29 14:16:11,50,83,86,2022,8,9,14,16,11
54,45.014717,2022-08-09,2022-08-29 14:16:11,82,53,75,2022,8,9,14,16,11
55,0.011928,2022-08-09,2022-08-29 14:16:11,49,83,86,2022,8,9,14,16,11
56,45.009832,2022-08-09,2022-08-29 14:16:12,18,95,55,2022,8,9,14,16,12
57,0.215092,2022-08-09,2022-08-29 14:16:12,94,18,66,2022,8,9,14,16,12
58,10.011286,2022-08-09,2022-08-29 14:16:19,18,1,55,2022,8,9,14,16,19
59,0.057759,2022-08-09,2022-08-29 14:16:19,2,18,66,2022,8,9,14,16,19
60,45.008694,2022-08-09,2022-08-29 14:16:24,82,76,75,2022,8,9,14,16,24
61,45.008865,2022-08-09,2022-08-29 14:16:24,82,68,75,2022,8,9,14,16,24
62,0.074872,2022-08-09,2022-08-29 14:16:24,72,83,86,2022,8,9,14,16,24
63,0.059819,2022-08-09,2022-08-29 14:16:24,64,83,86,2022,8,9,14,16,24
64,45.008896,2022-08-09,2022-08-29 14:16:27,82,41,75,2022,8,9,14,16,27
65,0.018092,2022-08-09,2022-08-29 14:16:27,37,83,86,2022,8,9,14,16,27
66,0.0,2022-08-09,2022-08-29 14:16:27,18,27,66,2022,8,9,14,16,27
67,0.064326,2022-08-09,2022-08-29 14:16:27,27,18,66,2022,8,9,14,16,27
68,0.000101,2022-08-09,2022-08-29 14:16:27,18,27,54,2022,8,9,14,16,27
69,0.000359,2022-08-09,2022-08-29 14:16:27,18,27,273,2022,8,9,14,16,27
70,0.0,2022-08-09,2022-08-29 14:16:28,18,16,72,2022,8,9,14,16,28
71,0.0,2022-08-09,2022-08-29 14:16:28,18,16,72,2022,8,9,14,16,28
72,0.035871,2022-08-09,2022-08-29 14:16:28,18,16,72,2022,8,9,14,16,28
73,0.036928,2022-08-09,2022-08-29 14:16:28,18,16,72,2022,8,9,14,16,28
74,0.296784,2022-08-09,2022-08-29 14:16:28,18,27,273,2022,8,9,14,16,28
75,0.0,2022-08-09,2022-08-29 14:16:28,18,16,80,2022,8,9,14,16,28
76,0.0,2022-08-09,2022-08-29 14:16:28,18,16,80,2022,8,9,14,16,28
77,0.042091,2022-08-09,2022-08-29 14:16:28,18,16,80,2022,8,9,14,16,28
78,0.041059,2022-08-09,2022-08-29 14:16:28,18,16,80,2022,8,9,14,16,28
79,0.302078,2022-08-09,2022-08-29 14:16:28,27,18,1506,2022,8,9,14,16,28
80,0.0,2022-08-09,2022-08-29 14:16:28,27,18,1506,2022,8,9,14,16,28
81,0.0,2022-08-09,2022-08-29 14:16:28,27,18,400,2022,8,9,14,16,28
82,0.397874,2022-08-09,2022-08-29 14:16:28,17,18,215,2022,8,9,14,16,28
83,0.397874,2022-08-09,2022-08-29 14:16:28,17,18,211,2022,8,9,14,16,28
84,0.0,2022-08-09,2022-08-29 14:16:28,27,18,1506,2022,8,9,14,16,28
85,0.0,2022-08-09,2022-08-29 14:16:28,17,18,104,2022,8,9,14,16,28
86,0.0,2022-08-09,2022-08-29 14:16:28,17,18,100,2022,8,9,14,16,28
87,0.0,2022-08-09,2022-08-29 14:16:28,27,18,66,2022,8,9,14,16,28
88,0.0,2022-08-09,2022-08-29 14:16:28,27,18,1506,2022,8,9,14,16,28
89,0.064007,2022-08-09,2022-08-29 14:16:28,17,18,273,2022,8,9,14,16,28
90,0.064005,2022-08-09,2022-08-29 14:16:28,17,18,321,2022,8,9,14,16,28
91,0.0,2022-08-09,2022-08-29 14:16:28,17,18,144,2022,8,9,14,16,28
92,0.0,2022-08-09,2022-08-29 14:16:28,17,18,192,2022,8,9,14,16,28
93,0.000185,2022-08-09,2022-08-29 14:16:28,18,27,66,2022,8,9,14,16,28
94,8.7e-05,2022-08-09,2022-08-29 14:16:28,18,27,66,2022,8,9,14,16,28
95,8.3e-05,2022-08-09,2022-08-29 14:16:28,18,27,66,2022,8,9,14,16,28
96,0.000267,2022-08-09,2022-08-29 14:16:28,18,27,74,2022,8,9,14,16,28
97,0.000145,2022-08-09,2022-08-29 14:16:28,18,27,66,2022,8,9,14,16,28
98,0.0,2022-08-09,2022-08-29 14:16:28,82,61,86,2022,8,9,14,16,28
99,0.0,2022-08-09,2022-08-29 14:16:28,82,61,86,2022,8,9,14,16,28
100,0.0,2022-08-09,2022-08-29 14:16:28,82,49,86,2022,8,9,14,16,28
101,0.012942,2022-08-09,2022-08-29 14:16:28,57,83,86,2022,8,9,14,16,28
102,0.012942,2022-08-09,2022-08-29 14:16:28,57,83,86,2022,8,9,14,16,28
103,0.000149,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
104,0.000206,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
105,0.000361,2022-08-09,2022-08-29 14:16:28,82,61,579,2022,8,9,14,16,28
106,0.000709,2022-08-09,2022-08-29 14:16:28,82,61,579,2022,8,9,14,16,28
107,0.016926,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
108,0.01706,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
109,0.00033,2022-08-09,2022-08-29 14:16:28,57,83,224,2022,8,9,14,16,28
110,0.000181,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
111,0.001311,2022-08-09,2022-08-29 14:16:28,82,61,125,2022,8,9,14,16,28
112,0.002378,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
113,7.5e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
114,0.003805,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
115,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
116,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
117,0.000171,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
118,0.000782,2022-08-09,2022-08-29 14:16:28,57,83,1379,2022,8,9,14,16,28
119,7.5e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
120,0.03887,2022-08-09,2022-08-29 14:16:28,45,83,86,2022,8,9,14,16,28
121,0.000206,2022-08-09,2022-08-29 14:16:28,82,49,74,2022,8,9,14,16,28
122,0.000659,2022-08-09,2022-08-29 14:16:28,82,49,587,2022,8,9,14,16,28
123,0.007932,2022-08-09,2022-08-29 14:16:28,82,61,161,2022,8,9,14,16,28
124,0.000567,2022-08-09,2022-08-29 14:16:28,82,61,805,2022,8,9,14,16,28
125,0.009898,2022-08-09,2022-08-29 14:16:28,82,61,232,2022,8,9,14,16,28
126,0.007963,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
127,0.0,2022-08-09,2022-08-29 14:16:28,57,83,143,2022,8,9,14,16,28
128,0.000119,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
129,0.000375,2022-08-09,2022-08-29 14:16:28,82,61,112,2022,8,9,14,16,28
